course_id,university_id,university_name,course_code,course_name,course_level,duration_years,intl_fee_per_year_aud,entry_requirement,entry_score_ielts,entry_score_gmat,undergrad_prerequisites,grad_employment_rate_pct,grad_salary_median_aud,career_pathways,anzsco_code,course_url_path,specializations
26005,27,Swinburne University,BA-SC,Bachelor of Science,Undergraduate,3,43000,VCE 60+/IB,6.5,N/A,Science subjects,80,61000,Scientist|Analyst,2311,science/bachelor,Physics|Chemistry|Mathematics

27001,28,Western Sydney University,BA-BUS,Bachelor of Business,Undergraduate,3,34000,HSC 50+/IB,6.0,N/A,English+Math,70,47000,Analyst|Manager,1200,business/bachelor,Accounting|Management
27002,28,Western Sydney University,BA-IT,Bachelor of IT,Undergraduate,3,33000,HSC 50+/IB,6.0,N/A,Math+English,74,55000,Developer|Systems Admin,2611,it/bachelor,Web|Mobile|Cloud
27003,28,Western Sydney University,BA-ENG,Bachelor of Engineering,Undergraduate,4,39000,HSC 55+/IB,6.0,N/A,Math+Physics,79,60000,Engineer|Designer,2631,engineering/bachelor,Software|Civil|Electrical
27004,28,Western Sydney University,BA-HLT,Bachelor of Health,Undergraduate,3,32000,HSC 48+/IB,6.0,N/A,Science+English,72,50000,Health Professional,2512,health/bachelor,Nursing|Public Health|Allied
27005,28,Western Sydney University,MS-BUS,Master of Business,Postgraduate,1.5,36000,Bachelor+1yr exp,6.0,N/A,Work experience,75,68000,Manager|Consultant,1200,business/masters,Management|Finance|Operations

28001,29,University of Divinity,BA-THL,Bachelor of Theology,Undergraduate,3,20000,ATAR 40+/Mature age,6.0,N/A,English+Philosophy,58,36000,Clergy|Theologian|Educator,4212,theology/bachelor,Christian Studies|Biblical Studies|Ministry
28002,29,University of Divinity,BA-PHI,Bachelor of Philosophy,Undergraduate,3,22000,ATAR 45+/Mature age,6.0,N/A,English+reasoning,60,38000,Philosopher|Educator|Analyst,4212,philosophy/bachelor,Ethics|Logic|Metaphysics|Social Philosophy
28003,29,University of Divinity,MA-THL,Master of Theology,Postgraduate,2,24000,Bachelor+relevant,6.5,N/A,Theological knowledge,65,42000,Scholar|Religious leader,4212,theology/masters,Pastoral Studies|Academic Research
28004,29,University of Divinity,BA-MIN,Bachelor of Ministry,Undergraduate,3,19000,ATAR 40+/Mature age,5.5,N/A,Leadership interest,55,32000,Minister|Community Leader,4212,ministry/bachelor,Pastoral Ministry|Youth Work
28005,29,University of Divinity,DIP-REL,Diploma in Religion,Undergraduate,2,16000,ATAR 35+/Mature age,5.5,N/A,None required,50,28000,Religious Educator|Community Worker,4212,religion/diploma,General Religious Studies|Comparative Religion

29001,30,Bond University,BA-BUS,Bachelor of Business,Undergraduate,3,48000,QLD OP10-15/IB,7.0,N/A,English+Math,86,76000,Manager|Analyst|Consultant,1200,business/bachelor,International Business|Finance|Marketing
29002,30,Bond University,BA-LAW,Bachelor of Laws,Undergraduate,4,52000,QLD OP8-12/IB,7.0,N/A,English focus,87,85000,Lawyer|Barrister,2711,law/bachelor,Corporate Law|Commercial|Criminal
29003,30,Bond University,BA-HLT,Bachelor of Health,Undergraduate,3,45000,QLD OP10-15/IB,7.0,N/A,Science+English,83,68000,Health Professional,2512,health/bachelor,Allied Health|Public Health|Nursing
29004,30,Bond University,BA-ENG,Bachelor of Engineering,Undergraduate,4,50000,QLD OP10-15/IB,7.0,N/A,Math+Physics,85,72000,Engineer|Consultant,2631,engineering/bachelor,Software|Civil|Electrical
29005,30,Bond University,MS-BUS,Master of Business,Postgraduate,1,46000,Bachelor+3yrs exp,7.0,N/A,Leadership experience,84,88000,Executive|Director,1200,business/masters,Strategic Management|Finance
